iter	Passed	Remaining
0	63	126985
1	121	121444
2	172	114800
3	209	104670
4	250	99850
5	290	96554
6	327	93229
7	377	93986
8	416	92109
9	453	90315
10	552	99926
11	640	106116
12	726	111027
13	874	123994
14	980	129727
15	1126	139698
16	1386	161675
17	1447	159423
18	1540	160595
19	1757	174012
20	1914	180427
21	2014	181164
22	2126	182751
23	2211	182075
24	2263	178797
25	2335	177310
26	2406	175838
27	2468	173819
28	2516	171030
29	2564	168369
30	2707	171953
31	2787	171427
32	2857	170345
33	2944	170267
34	3034	170371
35	3126	170577
36	3229	171327
37	3309	170874
38	3356	168763
39	3400	166600
40	3442	164475
41	3483	162379
42	3534	160861
43	3585	159388
44	3629	157696
45	3678	156245
46	3726	154855
47	3774	153508
48	3821	152174
49	3872	151038
50	3923	149953
51	3978	149040
52	4026	147908
53	4076	146892
54	4125	145878
55	4158	144375
56	4206	143384
57	4251	142345
58	4310	141803
59	4356	140852
60	4401	139923
61	4457	139325
62	4498	138314
63	4533	137129
64	4570	136059
65	4613	135184
66	4649	134148
67	4689	133223
68	4721	132138
69	4764	131359
70	4804	130545
71	4844	129737
72	4883	128902
73	4930	128316
74	4963	127393
75	5007	126756
76	5050	126128
77	5124	126275
78	5175	125843
79	5241	125793
80	5309	125796
81	5368	125559
82	5426	125322
83	5460	124562
84	5501	123942
85	5561	123779
86	5797	127486
87	5988	130112
88	6175	132599
89	6298	133662
90	6353	133279
91	6382	132371
92	6439	132048
93	6494	131689
94	6540	131153
95	6586	130632
96	6637	130221
97	6690	129848
98	6735	129329
99	6782	128858
100	6829	128416
101	6884	128106
102	6926	127572
103	6994	127511
104	7036	126984
105	7081	126538
106	7125	126063
107	7171	125628
108	7214	125167
109	7279	125075
110	7307	124363
111	7361	124097
112	7422	123944
113	7469	123577
114	7514	123180
115	7569	122937
116	7628	122773
117	7674	122395
118	7695	121646
119	7740	121264
120	7794	121032
121	7849	120835
122	7895	120493
123	7945	120204
124	8005	120084
125	8063	119923
126	8137	120012
127	8162	119375
128	8208	119056
129	8255	118752
130	8315	118634
131	8365	118387
132	8426	118292
133	8500	118376
134	8558	118228
135	8615	118079
136	8672	117929
137	8724	117712
138	8773	117457
139	8826	117269
140	8879	117066
141	8927	116816
142	8975	116558
143	9028	116368
144	9079	116155
145	9131	115959
146	9179	115706
147	9206	115210
148	9268	115135
149	9328	115051
150	9380	114866
151	9430	114655
152	9484	114495
153	9530	114236
154	9582	114067
155	9627	113796
156	9685	113696
157	9736	113509
158	9779	113230
159	9829	113034
160	9875	112798
161	9923	112585
162	9980	112484
163	10039	112395
164	10096	112283
165	10151	112150
166	10174	111678
167	10229	111545
168	10281	111393
169	10339	111303
170	10392	111154
171	10448	111048
172	10489	110774
173	10513	110326
174	10535	109865
175	10586	109713
176	10639	109579
177	10689	109412
178	10747	109340
179	10809	109291
180	10859	109138
181	10915	109033
182	10974	108966
183	11015	108718
184	11091	108815
185	11156	108803
186	11209	108678
187	11254	108470
188	11331	108576
189	11399	108598
190	11476	108694
191	11532	108599
192	11596	108576
193	11654	108491
194	11719	108478
