iter	RMSE
0	18.52145158
1	18.14651563
2	17.78655416
3	17.44098688
4	17.10986433
5	16.78787211
6	16.47664209
7	16.18108302
8	15.89439073
9	15.61965615
10	15.34335311
11	15.07667455
12	14.81931691
13	14.57474912
14	14.33725755
15	14.10826279
16	13.88697864
17	13.67506326
18	13.47077422
19	13.27532847
20	13.08809616
21	12.90686482
22	12.73182665
23	12.56380382
24	12.40369515
25	12.25193402
26	12.1044887
27	11.96331181
28	11.82829088
29	11.69805098
30	11.57275683
31	11.45361726
32	11.33947742
33	11.22972231
34	11.12616885
35	11.02532635
36	10.92938696
37	10.83712186
38	10.74890894
39	10.66422102
40	10.58363746
41	10.50598595
42	10.43304911
43	10.36172756
44	10.29486795
45	10.23099125
46	10.17013712
47	10.11257776
48	10.05648619
49	10.00194135
50	9.951120121
51	9.902059884
52	9.855583779
53	9.810270692
54	9.767385333
55	9.726490327
56	9.688128878
57	9.650896337
58	9.615500214
59	9.581729919
60	9.549536338
61	9.518568964
62	9.488927753
63	9.460927539
64	9.433495109
65	9.408079016
66	9.383610417
67	9.360046479
68	9.337151816
69	9.315563594
70	9.295623757
71	9.276541823
72	9.258198177
73	9.240436885
74	9.223440064
75	9.207336412
76	9.192004549
77	9.177287561
78	9.16302669
79	9.149415042
80	9.136413083
81	9.124057561
82	9.112717239
83	9.101475521
84	9.090582797
85	9.080256501
86	9.07039779
87	9.060985512
88	9.051999844
89	9.043230194
90	9.034796415
91	9.026446947
92	9.018574563
93	9.011095703
94	9.00414635
95	8.997093396
96	8.990729034
97	8.984730224
98	8.978848395
99	8.973200179
100	8.967540233
101	8.962185262
102	8.956912914
103	8.952171827
104	8.947687802
105	8.943482261
106	8.939184695
107	8.934888473
108	8.931031413
109	8.927293335
110	8.923752569
111	8.920126018
112	8.916955881
113	8.913987721
114	8.910993713
115	8.908190123
116	8.905502104
117	8.902800313
118	8.90040874
119	8.897697058
120	8.895364879
121	8.893236459
122	8.890899003
123	8.888599646
124	8.886507592
125	8.88440117
126	8.882486846
127	8.880735088
128	8.878786228
129	8.877364079
130	8.875923903
131	8.874572805
132	8.873082794
133	8.871861558
134	8.870499245
135	8.869379868
136	8.867828874
137	8.866670159
138	8.865316049
139	8.864220331
140	8.863162837
141	8.861963593
142	8.860741015
143	8.859567769
144	8.858663456
145	8.857902193
146	8.856776052
147	8.855922164
148	8.854975516
149	8.853942141
150	8.853517444
151	8.852689404
152	8.851639264
153	8.85075603
154	8.849955435
155	8.849445828
156	8.848790935
157	8.848156669
158	8.847500481
159	8.847098167
160	8.846374416
161	8.845786008
162	8.845141534
163	8.844556557
164	8.84420821
165	8.843743916
166	8.843296797
167	8.842744713
168	8.842478889
169	8.841976116
170	8.841733539
171	8.841189399
172	8.840696598
173	8.84017629
174	8.839795362
175	8.839464334
176	8.839175558
177	8.83886573
178	8.838647635
179	8.838350719
180	8.837923336
181	8.837697367
182	8.837451852
183	8.837105688
184	8.836799616
185	8.836513812
186	8.836312008
187	8.836021878
188	8.835793611
189	8.835592802
190	8.835305582
191	8.835145783
192	8.834941961
193	8.834664462
194	8.834577394
195	8.834431023
196	8.834231651
197	8.834103374
198	8.833858553
199	8.833731317
200	8.833546697
201	8.83346241
202	8.833232069
203	8.833057891
204	8.832823971
205	8.832673856
206	8.832445665
207	8.832248837
208	8.832207331
209	8.831950683
210	8.831793692
211	8.831746813
212	8.831655415
213	8.831540019
214	8.831365926
215	8.831289882
216	8.831207999
217	8.831167745
218	8.831058423
219	8.831045829
220	8.830975182
221	8.830959642
222	8.830790393
223	8.830733111
224	8.830543685
225	8.830451248
226	8.830413945
227	8.830367397
228	8.830229085
229	8.83012298
230	8.829921305
231	8.829749426
232	8.82968146
233	8.829623686
234	8.829521398
235	8.829333415
236	8.829269143
237	8.8290851
238	8.82906296
239	8.829056439
240	8.828841989
241	8.82877673
242	8.8286979
243	8.82867437
244	8.828674369
245	8.828519522
246	8.828406496
247	8.828332438
248	8.828274961
249	8.828182953
250	8.828174691
251	8.828000795
252	8.827962101
253	8.827962085
254	8.827824832
255	8.827730601
256	8.82762842
257	8.827592195
258	8.827543701
259	8.827455265
260	8.827375647
261	8.827184158
262	8.82714726
263	8.827134883
264	8.827114942
265	8.827106062
266	8.827073393
267	8.827050512
268	8.827039221
269	8.826946277
270	8.826854936
271	8.826854763
272	8.826740409
273	8.826693562
274	8.826662409
275	8.826636393
276	8.826486399
277	8.826431433
278	8.826422427
279	8.826374403
280	8.826305748
281	8.826210075
282	8.826193684
283	8.826178287
284	8.8260419
285	8.826002502
286	8.825993135
287	8.825872548
288	8.825871103
289	8.825814681
290	8.825786812
291	8.82578165
292	8.825663406
293	8.825478919
294	8.825426709
295	8.825366681
296	8.825252785
297	8.825119351
298	8.825118176
299	8.825080589
300	8.825078658
301	8.825074099
302	8.825031676
303	8.824946571
304	8.824901145
305	8.824893448
306	8.824861363
307	8.824777227
308	8.824663675
309	8.824615792
310	8.824605634
311	8.824344958
312	8.824311947
313	8.824204567
314	8.824117908
315	8.824110902
316	8.824108367
317	8.824108364
318	8.824105716
319	8.824084638
320	8.824010331
321	8.823981218
322	8.823941806
323	8.823906144
324	8.823825356
325	8.823688408
326	8.823686668
327	8.823668909
328	8.823573135
329	8.823560926
330	8.823556795
331	8.823529505
332	8.823506206
333	8.82350328
334	8.82350327
335	8.823452757
336	8.823421525
337	8.823307329
338	8.82324309
339	8.823232377
340	8.823162347
341	8.823134166
342	8.823121979
343	8.823105436
344	8.823101088
345	8.823099683
346	8.823012171
347	8.82300347
348	8.822934982
349	8.822934932
350	8.822934459
351	8.822900547
352	8.822869053
353	8.822806421
354	8.822806361
355	8.822802988
356	8.822781508
357	8.82278122
358	8.822740976
359	8.822739184
360	8.822706802
361	8.822693601
362	8.822691611
363	8.822669656
364	8.822641515
365	8.822639974
366	8.82262228
367	8.822548473
368	8.82250779
369	8.822450722
370	8.822450285
371	8.822404577
372	8.822359817
373	8.822354377
374	8.822346551
375	8.822337657
376	8.82233765
377	8.822195129
378	8.822177256
379	8.82216503
380	8.822080943
381	8.822000461
382	8.821901702
383	8.821790757
384	8.821663952
385	8.821663211
386	8.82159096
387	8.821590955
388	8.821555536
389	8.821409647
390	8.821404534
391	8.821395285
392	8.821329158
393	8.821328996
394	8.821310706
395	8.82125765
396	8.821197313
397	8.821196603
398	8.821194646
399	8.821069279
400	8.82104342
401	8.821041908
402	8.82094636
403	8.82094349
404	8.820892744
405	8.820844193
406	8.820747211
407	8.82074576
408	8.820718254
409	8.820709103
410	8.820643243
411	8.82063792
412	8.820622277
413	8.820622277
414	8.820605052
415	8.820512378
416	8.820507609
417	8.820448703
418	8.820375235
419	8.820293422
420	8.820293106
421	8.820209226
422	8.820208698
423	8.820099437
424	8.820097171
425	8.819983482
426	8.819906566
427	8.819842718
428	8.819776536
429	8.819692216
430	8.81967343
431	8.819672717
432	8.819670294
433	8.819520516
434	8.819493984
435	8.819405257
436	8.819373185
437	8.819371918
438	8.819212504
439	8.819060669
440	8.819003896
441	8.818918923
442	8.818883719
443	8.818762564
444	8.818706299
445	8.818648957
446	8.818640768
447	8.818570108
448	8.818514389
449	8.818462194
450	8.818460108
451	8.818458788
452	8.818408195
453	8.818405229
454	8.818283681
455	8.818119811
456	8.817966251
457	8.817959831
458	8.817889952
459	8.81777558
460	8.817754568
461	8.817750826
462	8.817544312
463	8.81753102
464	8.81752202
465	8.817521668
466	8.817478872
467	8.817476056
468	8.817475142
469	8.81741943
470	8.8173742
471	8.817288198
472	8.817093184
473	8.81698742
474	8.816912173
475	8.816740961
476	8.816703122
477	8.816700752
478	8.816698137
479	8.816568239
480	8.816555934
481	8.816407283
482	8.816406016
483	8.81615288
484	8.81599358
485	8.815986134
486	8.815972747
487	8.815912958
488	8.815685856
489	8.815684612
490	8.81551492
491	8.815352328
492	8.815123782
493	8.81497332
494	8.814790589
495	8.814618118
496	8.814434827
497	8.814388479
498	8.814330255
499	8.814241803
500	8.81406618
501	8.813912064
502	8.813805989
503	8.813661678
504	8.81360048
505	8.813424867
506	8.813356653
507	8.813352079
508	8.813252124
509	8.813057775
510	8.812936428
511	8.812816746
512	8.812680852
513	8.812518121
514	8.812338537
515	8.812335981
516	8.812199727
517	8.812036687
518	8.811914419
519	8.811911307
520	8.811737628
521	8.811583551
522	8.811580463
523	8.811421945
524	8.811290599
525	8.81108603
526	8.810921656
527	8.810811947
528	8.810690724
529	8.810544951
530	8.81053673
531	8.810351777
532	8.810349778
533	8.810342913
534	8.810169211
535	8.810020053
536	8.809948273
537	8.80993939
538	8.809797493
539	8.809649528
540	8.809545015
541	8.809423407
542	8.80940368
543	8.80924874
