iter	Passed	Remaining
0	180	361483
1	375	374957
2	573	381880
3	738	368546
4	894	356734
5	1043	346839
6	1237	352370
7	1398	348105
8	1539	340597
9	1726	343549
10	1896	342993
11	2094	347052
12	2283	349052
13	2463	349411
14	2623	347134
15	2760	342294
16	2917	340374
17	3080	339161
18	3244	338233
19	3448	341448
20	3627	341818
21	3780	339914
22	3941	338798
23	4109	338388
24	4261	336639
25	4437	336939
26	4612	337038
27	4800	338087
28	5001	339912
29	5151	338314
30	5349	339802
31	5568	342435
32	5758	343270
33	5938	343370
34	6111	343131
35	6334	345607
36	6514	345646
37	6721	347058
38	6893	346601
39	7067	346329
40	7212	344639
41	7365	343370
42	7514	342007
43	7703	342436
44	7887	342669
45	8059	342371
46	8235	342205
47	8383	340925
48	8525	339445
49	8676	338395
50	8845	338054
51	9026	338153
52	9186	337487
53	9372	337773
54	9549	337703
55	9744	338259
56	9901	337530
57	10064	336987
58	10236	336755
59	10398	336216
60	10552	335421
61	10701	334517
62	10893	334942
63	11057	334496
64	11227	334247
65	11392	333826
66	11540	332947
67	11748	333809
68	11910	333309
69	12089	333331
70	12255	332981
71	12426	332758
72	12582	332134
73	12775	332513
74	12950	332390
75	13114	331999
76	13300	332157
77	13516	333067
78	13767	334779
79	13969	335267
80	14165	335607
81	14361	335921
82	14521	335382
83	14685	334968
84	14873	335093
85	15028	334471
86	15201	334262
87	15352	333563
88	15505	332927
89	15681	332799
90	15868	332886
91	16064	333165
92	16231	332830
93	16440	333364
94	16629	333464
95	16796	333137
96	16995	333419
97	17175	333341
98	17360	333355
99	17525	332977
100	17671	332256
101	17865	332443
102	18026	332002
103	18184	331515
104	18343	331062
105	18519	330913
106	18678	330457
107	18852	330266
108	19028	330123
109	19215	330163
110	19411	330351
111	19712	332302
112	20180	337002
113	20585	340556
114	20851	341789
115	21069	342193
116	21292	342674
117	21522	343261
118	21749	343793
119	21987	344470
120	22257	345636
121	22476	345987
122	22733	346914
123	22983	347720
124	23814	357218
125	24298	361386
126	24606	362903
127	24832	363168
128	25135	364562
129	25820	371417
130	26109	372513
131	26379	373310
132	26614	373605
133	26870	374188
134	27150	375075
135	27414	375733
136	27628	375702
137	27815	375308
138	28019	375134
139	28211	374815
140	28412	374602
141	28612	374377
142	28831	374410
143	29032	374200
144	29239	374066
145	29416	373554
146	29629	373495
147	29771	372541
148	29954	372118
149	30162	372010
150	30317	371234
151	30498	370798
152	30681	370382
153	30879	370156
154	31068	369811
155	31247	369363
156	31451	369203
157	31652	369015
158	31854	368829
159	31995	367952
160	32200	367808
161	32440	368054
162	32728	368843
163	33193	371600
164	33514	372717
165	33700	372329
166	33921	372326
167	34201	372958
168	34331	371963
169	34667	373183
170	34869	372956
171	35056	372573
172	35249	372259
173	35431	371824
174	35556	370800
175	35725	370243
176	35898	369733
177	36085	369373
178	36211	368388
179	36359	367637
180	36626	368082
181	36749	367094
182	36919	366569
183	37116	366321
184	37311	366059
185	37463	365373
186	37591	364461
187	37717	363535
188	37827	362465
189	37950	361526
190	38167	361495
191	38352	361148
192	38571	361130
193	38780	361014
194	38854	359650
195	38976	358740
196	39191	358694
197	39374	358349
198	39601	358400
199	39766	357895
200	39903	357141
201	40036	356368
202	40257	356366
203	40463	356235
204	40636	355818
205	40779	355135
206	40929	354521
207	41111	354193
208	41230	353322
209	41423	353088
210	41693	353505
211	41784	352408
212	41916	351663
213	42032	350792
214	42266	350908
215	42362	349881
216	42477	349016
217	42544	347769
218	42677	347071
219	42770	346051
220	42881	345187
221	43065	344911
222	43217	344386
223	43411	344189
224	43606	344006
225	43845	344170
226	44037	343955
227	44195	343487
228	44350	342987
229	44456	342121
230	44686	342206
231	44893	342119
232	45131	342262
233	45334	342138
234	45533	341984
235	45750	341965
236	45896	341414
237	46043	340873
238	46167	340169
239	46267	339294
240	46462	339117
241	46632	338758
242	46710	337739
243	46796	336781
244	46835	335497
245	47027	335310
246	47234	335228
247	47343	334461
248	47460	333751
249	47635	333446
250	47837	333338
251	48045	333264
252	48180	332692
253	48223	331491
254	48357	330919
255	48483	330294
256	48633	329838
257	48740	329095
258	48863	328462
259	49006	327966
260	49215	327916
261	49459	328097
262	49543	327213
263	49628	326345
264	49896	326680
265	50013	326026
266	50151	325517
267	50224	324583
268	50318	323797
269	50501	323585
270	50757	323836
271	50801	322741
272	50959	322367
273	51212	322603
274	51318	321907
275	51453	321397
276	51679	321457
