iter	RMSE
0	18.52784276
1	18.16037505
2	17.80928593
3	17.46971848
4	17.13500203
5	16.81261767
6	16.50292479
7	16.2064461
8	15.92185092
9	15.6477823
10	15.38190332
11	15.1272534
12	14.88364556
13	14.63479585
14	14.39526948
15	14.1646249
16	13.94125434
17	13.72655536
18	13.52082547
19	13.32340589
20	13.13275604
21	12.94865214
22	12.77378543
23	12.60587282
24	12.44529142
25	12.29200371
26	12.146232
27	12.00376286
28	11.8665603
29	11.73741972
30	11.61079178
31	11.48901112
32	11.37408114
33	11.2627472
34	11.15711741
35	11.05582116
36	10.95803159
37	10.86594951
38	10.77788151
39	10.69272995
40	10.61160174
41	10.53313907
42	10.4590478
43	10.38788127
44	10.3195907
45	10.25360996
46	10.19156647
47	10.13224871
48	10.07575745
49	10.02112064
50	9.96943484
51	9.920461031
52	9.87252899
53	9.827537008
54	9.784291632
55	9.743668581
56	9.704290678
57	9.666250206
58	9.630562867
59	9.596717457
60	9.564279948
61	9.532747845
62	9.502461488
63	9.474190724
64	9.446817299
65	9.420487274
66	9.395611224
67	9.372011801
68	9.349105868
69	9.326935258
70	9.306760833
71	9.287162796
72	9.267874897
73	9.249809322
74	9.232479708
75	9.216157628
76	9.200407328
77	9.18566976
78	9.17134892
79	9.157629764
80	9.144961426
81	9.132214671
82	9.120298578
83	9.109154951
84	9.098669369
85	9.088522442
86	9.078467277
87	9.069008878
88	9.060266548
89	9.051429652
90	9.043213064
91	9.035319904
92	9.027748908
93	9.020646655
94	9.013576897
95	9.006528296
96	8.999561851
97	8.993370688
98	8.987021159
99	8.981004028
100	8.975916077
101	8.970399583
102	8.965361465
103	8.960689338
104	8.956001598
105	8.951391304
106	8.946940327
107	8.942799157
108	8.938719832
109	8.935314096
110	8.93166657
111	8.9284582
112	8.925018079
113	8.921831091
114	8.918562388
115	8.915664699
116	8.912873314
117	8.910009048
118	8.907427738
119	8.904952742
120	8.902265077
121	8.899805507
122	8.897568831
123	8.895196352
124	8.893081535
125	8.891344487
126	8.889371891
127	8.887482447
128	8.885673026
129	8.883946776
130	8.88230391
131	8.880685746
132	8.879152921
133	8.877832506
134	8.876383693
135	8.875299151
136	8.873923884
137	8.872623372
138	8.871337252
139	8.870275662
140	8.869137552
141	8.867975442
142	8.866986901
143	8.86606148
144	8.865195887
145	8.864371727
146	8.863399188
147	8.862670229
148	8.861880879
149	8.860933884
150	8.860014317
151	8.85923253
152	8.8584496
153	8.857645541
154	8.857020299
155	8.856414839
156	8.855837735
157	8.855390271
158	8.854915029
159	8.854164785
160	8.85353279
161	8.852674226
162	8.852150046
163	8.851267296
164	8.850615
165	8.85017258
166	8.849941929
167	8.849337967
168	8.84889487
169	8.848314373
170	8.847748209
171	8.847446249
172	8.84712192
173	8.84671285
174	8.846410956
175	8.845942567
176	8.845517522
177	8.845151331
178	8.844718451
179	8.844338262
180	8.843990406
181	8.843568001
182	8.843310955
183	8.842861244
184	8.842413288
185	8.842183523
186	8.841890973
187	8.841465589
188	8.841255724
189	8.840965755
190	8.840714193
191	8.840366432
192	8.840100446
193	8.839774784
194	8.839505824
195	8.839364506
196	8.839189546
197	8.838826177
198	8.838569477
199	8.838446339
200	8.838109502
201	8.837969285
202	8.837874557
203	8.837639835
204	8.837418367
205	8.837178712
206	8.836805573
207	8.836549665
208	8.836408285
209	8.83633581
210	8.83615497
211	8.83592532
212	8.835722809
213	8.835641442
214	8.835527337
215	8.835418606
216	8.835359722
217	8.835225942
218	8.835131023
219	8.834940999
220	8.834731073
221	8.834558054
222	8.834516579
223	8.834473702
224	8.834174848
225	8.834021722
226	8.83383071
227	8.833578975
228	8.833533422
229	8.833416488
230	8.833218581
231	8.833080376
232	8.832924681
233	8.832799379
234	8.832626568
235	8.832405749
236	8.83232402
237	8.832090746
238	8.832036977
239	8.831956816
240	8.831809898
241	8.831745584
242	8.83161563
243	8.831551907
244	8.831400204
245	8.831283371
246	8.83122783
247	8.831132945
248	8.831075645
249	8.831002152
250	8.830964647
251	8.830897104
252	8.830823924
253	8.830671017
254	8.830665841
255	8.830612982
256	8.830396577
257	8.830296044
258	8.830178452
259	8.830080693
260	8.829902237
261	8.829852634
262	8.829710718
263	8.829630621
264	8.82952245
265	8.829368954
266	8.829316746
267	8.82931468
268	8.82915043
269	8.829150426
270	8.829100406
271	8.829016061
272	8.828973091
273	8.828852179
274	8.828749084
275	8.828613627
276	8.82844514
277	8.828408858
278	8.82837965
279	8.828365475
280	8.828280086
281	8.828259229
282	8.828240249
283	8.828230468
284	8.828168058
285	8.828016385
286	8.82792705
287	8.82784935
288	8.827786314
289	8.827765377
290	8.827755042
291	8.827630721
292	8.827533111
293	8.827374777
294	8.827339578
295	8.827320571
296	8.827229902
297	8.82719679
298	8.827127041
299	8.82703383
300	8.826930033
301	8.826910842
302	8.826828759
303	8.826760555
304	8.826575293
305	8.826568239
306	8.826531584
307	8.826470937
308	8.826424471
309	8.826257943
310	8.826140838
311	8.826081445
312	8.826028388
313	8.825938601
314	8.825917117
315	8.825853831
316	8.825744285
317	8.825739705
318	8.825683229
319	8.825635804
320	8.825555967
321	8.825555897
322	8.825545771
323	8.825468277
324	8.82541466
325	8.825399181
326	8.825334198
327	8.825239681
328	8.825154088
329	8.825077034
330	8.825055143
331	8.825003175
332	8.824959188
333	8.82486625
334	8.824829291
335	8.824786234
336	8.824740941
337	8.824723128
338	8.824686298
339	8.824628953
340	8.82462857
341	8.824597868
342	8.82459325
343	8.824543092
344	8.824517457
345	8.824497224
346	8.824436053
347	8.824429521
348	8.824397788
349	8.824366817
350	8.824348855
351	8.824299168
352	8.824288171
353	8.824282342
354	8.824187845
355	8.824185504
356	8.824185473
357	8.824119299
358	8.824097282
359	8.824057199
360	8.824023586
361	8.823967704
362	8.823897642
363	8.823895948
364	8.823872408
365	8.823868282
366	8.823868042
367	8.82385236
368	8.823844234
369	8.823808913
370	8.823721662
371	8.823702133
372	8.823699693
373	8.823660945
374	8.823580959
375	8.823496832
376	8.823496118
377	8.82349571
378	8.823483987
379	8.823479402
380	8.823362708
381	8.823341063
382	8.823337424
383	8.823294931
384	8.823263195
385	8.823163923
386	8.823134911
387	8.823118497
388	8.823118497
389	8.823047292
390	8.823021778
391	8.823021462
392	8.823004488
393	8.823004488
394	8.822941102
395	8.822889902
396	8.822830392
397	8.822735259
398	8.822698423
399	8.822576968
400	8.822527566
401	8.822505083
402	8.822397044
403	8.822396991
404	8.822361814
405	8.822304843
406	8.822191221
407	8.822075296
408	8.822075295
409	8.822053822
410	8.822053822
411	8.822032268
412	8.821876071
413	8.821706518
414	8.821518001
415	8.821489163
416	8.821382189
417	8.821310858
418	8.821219261
419	8.82103635
420	8.821023428
421	8.820954296
422	8.820836778
423	8.820836757
424	8.820763656
425	8.820604481
426	8.820499059
427	8.82046003
428	8.82040627
429	8.820303045
430	8.820259579
431	8.820209013
432	8.820117286
433	8.820018435
434	8.819984913
435	8.819888366
436	8.819829075
437	8.819759107
438	8.819577508
439	8.819577493
440	8.819495483
441	8.819367504
442	8.819154779
443	8.819154757
444	8.819154757
445	8.819052509
446	8.818898605
447	8.81877074
448	8.81860124
449	8.818601234
450	8.818554664
451	8.818350052
452	8.818259396
453	8.818172458
454	8.818137837
455	8.817936104
456	8.817909405
457	8.817720585
458	8.817530193
459	8.817472967
460	8.817426603
461	8.817393304
462	8.817238709
463	8.817120998
464	8.816948842
465	8.816918719
466	8.816788974
467	8.816631961
468	8.816495084
469	8.816459601
470	8.816403838
471	8.816369248
472	8.816206031
473	8.816087449
474	8.81598699
475	8.815860751
476	8.815729707
477	8.815594869
478	8.815436135
479	8.815385352
480	8.815227157
481	8.815106402
482	8.814987686
483	8.814921087
484	8.814822275
485	8.81467182
486	8.814514169
487	8.814337315
488	8.814125564
489	8.813986137
490	8.813904872
491	8.813716944
492	8.813530906
493	8.813369096
494	8.813232254
495	8.813116351
496	8.812980473
497	8.812828614
498	8.812778297
499	8.81260869
500	8.812606018
501	8.812422456
502	8.812313274
503	8.812223758
504	8.812174857
505	8.812090416
506	8.811932918
507	8.811757998
508	8.811591054
509	8.811454655
510	8.811307155
511	8.811151258
512	8.81093849
513	8.810829506
514	8.810740102
515	8.810571663
516	8.810458234
517	8.810354043
518	8.810302917
519	8.810263025
520	8.810097005
521	8.810091494
522	8.809960725
523	8.809861212
524	8.809751357
525	8.809607304
526	8.809425377
527	8.80930199
528	8.809281036
529	8.809148685
530	8.809018846
531	8.808823391
532	8.808671526
533	8.808609543
534	8.808478531
535	8.808338517
536	8.808217486
537	8.808015678
538	8.807883111
539	8.807697866
540	8.807517273
541	8.807382351
542	8.807236096
543	8.807162019
544	8.807158697
545	8.807101498
546	8.806938729
547	8.806847175
548	8.806748932
549	8.806629852
550	8.806469368
551	8.806377561
552	8.806242286
553	8.806137857
554	8.805968796
555	8.80587142
556	8.805748274
557	8.805630327
558	8.805537217
559	8.80539773
560	8.80533633
561	8.805264001
562	8.80511341
563	8.804975303
564	8.804914284
565	8.804766848
566	8.804646514
567	8.804603503
568	8.804445971
569	8.804310256
570	8.804215106
571	8.804125127
572	8.804041193
573	8.803883884
574	8.80387914
575	8.803790009
576	8.803744713
577	8.80357631
578	8.803453401
579	8.80336947
580	8.803326878
581	8.803156161
582	8.803039437
583	8.80291987
584	8.802815535
585	8.80274487
586	8.802652069
587	8.802572214
588	8.802435848
589	8.802381874
590	8.802376944
591	8.802323496
592	8.802184531
593	8.802037754
594	8.802033886
595	8.801957172
596	8.801831671
597	8.801670989
598	8.801591571
599	8.801514452
600	8.801424239
601	8.801357839
602	8.801279407
603	8.801183765
604	8.801085979
605	8.800926521
606	8.800824231
607	8.800780922
608	8.800677091
609	8.80057827
610	8.800558252
611	8.800469795
612	8.800447399
613	8.800417813
614	8.800301607
615	8.80024779
616	8.800121046
617	8.800113781
618	8.799984866
619	8.7999059
620	8.799844869
621	8.799840799
622	8.799764768
623	8.79966884
624	8.799497578
625	8.799364046
626	8.799263612
627	8.799162616
628	8.799042501
629	8.798978787
630	8.798833421
631	8.798779476
632	8.798761531
633	8.798677843
634	8.79858339
635	8.798462056
636	8.798357322
637	8.798278863
638	8.798211612
639	8.798190418
640	8.798163527
641	8.798153931
642	8.798056561
643	8.798052206
644	8.797860954
645	8.797716061
646	8.797659404
647	8.797632781
648	8.797583914
649	8.797532771
650	8.797394026
651	8.797315337
652	8.797169855
653	8.797093569
654	8.796975591
655	8.796969266
656	8.796884802
657	8.79684599
658	8.796713711
659	8.796709821
660	8.79665664
661	8.796537713
662	8.796492115
663	8.796377532
664	8.796327966
665	8.7962594
666	8.796250887
667	8.796247432
668	8.796155382
669	8.79615148
670	8.79603168
671	8.795917003
672	8.795913253
673	8.795889751
674	8.795882034
675	8.795781105
676	8.795706545
677	8.795700849
678	8.795666394
679	8.795659933
680	8.79565489
681	8.795652574
682	8.795523498
683	8.79545599
684	8.795332616
685	8.795205536
686	8.795096598
687	8.794995135
688	8.794894686
689	8.794884385
690	8.794812844
691	8.794760838
692	8.79465373
693	8.794529873
694	8.794408546
695	8.794404784
696	8.794400924
697	8.794397385
698	8.794336692
699	8.794328469
700	8.794244995
701	8.794148048
702	8.794052952
703	8.794048223
704	8.793971909
705	8.793911872
706	8.793821695
707	8.793722657
708	8.793718088
709	8.793673763
710	8.793657974
711	8.793586372
712	8.793505209
713	8.793501293
714	8.793488111
715	8.793407481
716	8.793392132
717	8.793345714
718	8.793225567
719	8.793160284
720	8.793154085
721	8.793095047
722	8.79300938
723	8.793004818
724	8.792968666
725	8.792963946
726	8.792929657
727	8.792924127
728	8.792920999
729	8.792918055
730	8.792905541
731	8.79286825
732	8.792864362
733	8.792776417
734	8.792682445
735	8.792590576
736	8.792579677
737	8.792516707
738	8.79241798
739	8.792289308
740	8.792179878
741	8.792176934
742	8.792145219
743	8.792044783
744	8.792041058
745	8.792026941
746	8.792023005
747	8.791940601
748	8.791893708
749	8.791859174
750	8.791728304
751	8.791644259
752	8.791479309
753	8.791357375
754	8.791283698
755	8.79117452
756	8.791123934
757	8.790987849
758	8.79088653
759	8.790823719
760	8.790711702
761	8.790705707
762	8.790700771
763	8.79062506
764	8.790561936
765	8.790488797
766	8.790353684
767	8.790236744
768	8.790141333
769	8.790101078
770	8.790054777
771	8.789940706
772	8.78993749
773	8.789859861
774	8.789855783
775	8.789853333
776	8.789778756
777	8.78977525
778	8.789668288
779	8.789567279
780	8.789451457
781	8.789384616
782	8.789349664
783	8.789312914
784	8.789228329
785	8.789213458
786	8.789177599
787	8.789174054
788	8.789064877
789	8.789055316
790	8.789053346
791	8.788966239
792	8.788885017
793	8.788830311
794	8.788826527
795	8.788648959
796	8.788621131
797	8.788578624
798	8.788541269
799	8.788529162
800	8.788502829
801	8.78849183
802	8.788421692
803	8.788272532
804	8.788267705
805	8.788254262
806	8.788181398
807	8.78806888
808	8.788060038
809	8.787944953
810	8.787903111
811	8.787809414
812	8.787800246
813	8.787690237
814	8.787670585
815	8.787573143
816	8.787494121
817	8.787378656
818	8.787313077
819	8.787298359
820	8.787293112
821	8.787287161
822	8.78728259
823	8.787277636
824	8.787273917
825	8.787265539
826	8.787261539
827	8.787256798
828	8.787223925
829	8.787216907
830	8.787159442
831	8.787054804
832	8.787045753
833	8.786903871
834	8.786833841
835	8.786758038
836	8.786749981
837	8.786746071
838	8.786697122
839	8.786574331
840	8.786535101
841	8.786530423
842	8.786426537
843	8.786405013
844	8.78628716
845	8.786197392
846	8.786114163
847	8.786112972
848	8.786017171
849	8.785951319
850	8.785945367
851	8.785871953
852	8.785762822
853	8.785683729
854	8.7856023
855	8.785593843
856	8.785566859
857	8.785454856
858	8.785450071
859	8.785364159
860	8.785324612
861	8.785256237
862	8.78521006
863	8.785095348
864	8.785026507
865	8.78493727
866	8.78488619
867	8.784874998
868	8.784873683
869	8.784821474
870	8.784815742
871	8.784740302
872	8.784673031
873	8.784659617
874	8.784658554
875	8.784613378
876	8.784458992
877	8.784375787
878	8.784294396
879	8.784289168
880	8.784288134
881	8.78414278
882	8.784072222
883	8.784065693
884	8.783995257
885	8.783895051
886	8.783847098
887	8.783805272
888	8.783717587
889	8.78357423
890	8.783415729
891	8.783355129
892	8.783348941
893	8.783244905
894	8.78324154
895	8.783177969
896	8.783171988
897	8.783101944
898	8.783042013
899	8.782931545
900	8.782928255
901	8.782921306
902	8.782851623
903	8.782850382
904	8.782844418
905	8.782732119
906	8.782686901
907	8.782556009
908	8.7825306
909	8.78250035
910	8.782476712
911	8.782471176
912	8.782423294
913	8.782325873
914	8.782258845
915	8.782196904
916	8.782106851
917	8.782094172
918	8.782088961
919	8.782087114
920	8.782076184
921	8.782005735
922	8.781866533
923	8.781830249
924	8.781726232
925	8.781695436
926	8.781692587
927	8.781672828
928	8.781669337
929	8.78166657
930	8.781512909
931	8.781410909
932	8.781310202
933	8.781288619
934	8.78120056
935	8.781194092
936	8.781192165
937	8.781188897
938	8.781163564
939	8.781161466
940	8.781075925
941	8.780996902
942	8.780990808
943	8.780979924
944	8.780906738
945	8.780791071
946	8.78070833
947	8.780701729
948	8.780625262
949	8.780533089
950	8.780408785
951	8.780403947
952	8.780380589
953	8.780342446
954	8.780267809
955	8.780258081
956	8.780202743
957	8.78010135
958	8.779994222
959	8.779984804
960	8.779907076
961	8.779842272
962	8.779840228
963	8.779728131
964	8.779660513
965	8.779659466
966	8.779652896
967	8.779592456
968	8.779583217
969	8.779521401
970	8.779449361
971	8.779383553
972	8.779298032
973	8.77921913
974	8.779149975
975	8.779046702
976	8.779045203
977	8.778958287
978	8.778891658
979	8.778819235
980	8.778709481
981	8.778707184
982	8.778652885
983	8.778576735
984	8.77857272
985	8.778569699
986	8.778558653
987	8.778537039
988	8.778479693
989	8.778379768
990	8.77837286
991	8.778319875
992	8.778317253
993	8.778280992
994	8.778204612
995	8.778195692
996	8.778071754
997	8.778068448
998	8.77806713
999	8.778061287
1000	8.778057688
1001	8.777960022
1002	8.777950344
1003	8.777924104
1004	8.777835589
1005	8.777803585
1006	8.77777124
1007	8.777724677
1008	8.777718499
1009	8.777582432
1010	8.777540102
1011	8.777499032
1012	8.777407333
1013	8.77732692
1014	8.777222978
1015	8.777103381
1016	8.777100681
1017	8.776977208
1018	8.776853068
1019	8.776727378
1020	8.776637202
1021	8.776575629
1022	8.776567298
1023	8.776564257
1024	8.776555818
1025	8.776489442
1026	8.776479107
1027	8.776476631
1028	8.776470794
1029	8.77641147
1030	8.776297555
1031	8.776294704
1032	8.776200118
1033	8.776190076
1034	8.776140344
1035	8.776098531
1036	8.776047239
1037	8.776045092
1038	8.776037589
1039	8.776028695
1040	8.775948
1041	8.775868207
1042	8.775840966
1043	8.775752819
1044	8.775728475
1045	8.775724315
1046	8.775612242
1047	8.775603747
1048	8.775517196
1049	8.775450307
1050	8.775447533
1051	8.775366002
1052	8.775358462
1053	8.77535146
1054	8.775317251
1055	8.775189312
1056	8.775147836
1057	8.775144284
1058	8.775005194
1059	8.77493051
1060	8.774889406
1061	8.77481246
1062	8.774740269
1063	8.774738369
1064	8.774632686
1065	8.77456723
1066	8.774515142
1067	8.774513189
1068	8.774510367
1069	8.774364654
1070	8.774279263
1071	8.77427768
1072	8.77413091
1073	8.774122897
1074	8.774050504
1075	8.77404796
1076	8.773991455
1077	8.77393879
1078	8.773887346
1079	8.77385014
1080	8.773772415
1081	8.773688032
1082	8.773686178
1083	8.773599424
1084	8.773499889
1085	8.77345381
1086	8.77341439
1087	8.773373262
1088	8.773367305
1089	8.773268899
1090	8.773176605
1091	8.773136281
1092	8.773133831
1093	8.773062353
1094	8.772975794
1095	8.77294653
1096	8.772815823
1097	8.772808691
1098	8.772804391
1099	8.772715642
1100	8.772651046
1101	8.772586572
1102	8.772481986
1103	8.772443297
1104	8.772359843
1105	8.772332632
1106	8.772328195
1107	8.772269939
1108	8.772262905
1109	8.772257356
1110	8.772203172
1111	8.772146081
1112	8.772144911
1113	8.772057168
1114	8.771989964
1115	8.771987444
1116	8.771986042
1117	8.771879999
1118	8.771802039
1119	8.771720587
1120	8.771714684
1121	8.771679026
1122	8.771627539
1123	8.771553703
1124	8.771459981
1125	8.771458153
1126	8.771399339
1127	8.771396523
1128	8.771316542
1129	8.771295085
1130	8.771254119
1131	8.771250919
1132	8.771151814
1133	8.771146135
1134	8.771047865
1135	8.770929906
1136	8.770857516
1137	8.770788926
1138	8.770704065
1139	8.770699587
1140	8.770612771
1141	8.770551901
1142	8.770447158
1143	8.770421588
1144	8.770364345
1145	8.770360728
1146	8.770279609
1147	8.770269946
1148	8.770260332
1149	8.770256369
1150	8.770173149
1151	8.770169986
1152	8.770164637
1153	8.770160782
1154	8.770141171
1155	8.770057757
1156	8.770052056
1157	8.770035693
1158	8.770033889
1159	8.769977941
1160	8.769976885
1161	8.769917804
1162	8.769915706
1163	8.769858191
1164	8.769787201
1165	8.769706288
1166	8.769678208
1167	8.769673793
1168	8.769672073
1169	8.769664953
1170	8.769660922
1171	8.769593115
1172	8.769502708
1173	8.76943092
1174	8.769392053
1175	8.769296991
1176	8.7692935
1177	8.76923464
1178	8.769129435
1179	8.769127361
1180	8.769124862
1181	8.769084461
1182	8.769083756
1183	8.769041962
1184	8.769038067
1185	8.768978158
1186	8.768923068
1187	8.768865869
1188	8.768864794
1189	8.768863552
1190	8.768860122
1191	8.768856664
1192	8.768835931
1193	8.768709292
1194	8.768592606
1195	8.768543603
