iter	Passed	Remaining
0	219	438329
1	423	422589
2	582	387944
3	751	375016
4	925	369449
5	1107	368093
6	1263	359736
7	1428	355694
8	1597	353476
9	1820	362301
10	2003	362206
11	2174	360281
12	2370	362294
13	2528	358742
14	2695	356641
15	2848	353193
16	3003	350309
17	3189	351153
18	3340	348271
19	3501	346665
20	3650	344047
21	3820	343492
22	3977	341886
23	4160	342549
24	4327	341908
25	4472	339582
26	4637	338870
27	4809	338741
28	4967	337591
29	5189	340782
30	5350	339846
31	5509	338842
32	5659	337316
33	5804	335647
34	5981	335799
35	6142	335131
36	6305	334558
37	6470	334103
38	6615	332647
39	6783	332380
40	6943	331752
41	7088	330457
42	7260	330436
43	7396	328811
44	7546	327832
45	7708	327453
46	7865	326822
47	8030	326568
48	8173	325427
49	8344	325416
50	8510	325250
51	8662	324527
52	8830	324408
53	8986	323832
54	9168	324238
55	9346	324468
56	9511	324223
57	9653	323220
58	9866	324599
59	10022	324050
60	10188	323872
61	10349	323502
62	10515	323319
63	10695	323530
64	10867	323518
65	11049	323776
66	11214	323556
67	11426	324635
68	11609	324896
69	11854	326854
70	12053	327469
71	12244	327887
72	12411	327617
73	12583	327501
74	12754	327371
75	12917	327015
76	13103	327246
77	13298	327690
78	13468	327501
79	13610	326649
80	13763	326084
81	13935	325947
82	14107	325839
83	14277	325666
84	14440	325341
85	14612	325210
86	14801	325468
87	14982	325530
88	15119	324654
89	15308	324886
90	15490	324965
91	15658	324745
92	15820	324396
93	15999	324424
94	16174	324332
95	16344	324159
96	16517	324047
97	16723	324581
98	16875	324040
99	17036	323686
100	17203	323453
101	17355	322948
102	17540	323054
103	17709	322861
104	17843	322035
105	18007	321751
106	18170	321470
107	18322	320989
108	18471	320446
109	18648	320407
110	18806	320048
111	18959	319610
112	19140	319633
113	19297	319257
114	19480	319304
115	19651	319173
116	19828	319126
117	20003	319036
118	20184	319055
119	20339	318652
120	20516	318591
121	20698	318617
122	20863	318380
123	21040	318322
124	21201	318022
125	21371	317856
126	21551	317847
127	21750	318098
128	21923	317972
129	22115	318123
130	22309	318297
131	22491	318293
132	22670	318238
133	22847	318162
134	23039	318287
135	23277	319032
136	23476	319240
137	23690	319654
138	23895	319928
139	24053	319561
140	24243	319631
141	24430	319657
142	24603	319496
143	24790	319523
144	24947	319152
145	25123	319035
146	25284	318717
147	25448	318444
148	25632	318430
149	25791	318100
150	25987	318222
151	26149	317922
152	26327	317817
153	26486	317499
154	26644	317151
155	26808	316888
156	27012	317090
157	27185	316937
158	27356	316755
159	27509	316364
160	27770	317201
161	28011	317809
162	28224	318093
163	28402	317968
164	28624	318335
165	28757	317723
166	28867	316853
167	29071	317017
168	29264	317060
169	29442	316944
170	29630	316920
171	29782	316524
172	29972	316528
173	30111	315999
174	30244	315403
175	30434	315415
176	30615	315318
177	30805	315320
178	30976	315133
179	31172	315188
180	31330	314864
181	31508	314740
182	31681	314562
183	31948	315318
184	32146	315386
185	32340	315403
186	32510	315194
187	32693	315104
188	32836	314642
189	32996	314334
190	33156	314028
191	33337	313929
192	33536	313993
193	33731	314015
194	33954	314300
195	34137	314207
196	34311	314033
197	34536	314317
198	34670	313780
199	34796	313171
200	35003	313285
201	35240	313674
202	35355	312973
203	35521	312730
204	35731	312868
205	36000	313515
206	36253	314018
207	36427	313833
208	36573	313407
209	36651	312413
210	36774	311795
211	36968	311793
212	37160	311766
213	37277	311107
214	37441	310851
215	37598	310536
216	37709	309840
217	37871	309577
218	38091	309774
219	38258	309542
220	38455	309557
221	38585	309033
222	38650	307990
223	38781	307485
224	38969	307426
225	39120	307079
226	39300	306960
227	39496	306962
228	39596	306221
229	39756	305954
230	39940	305862
231	40093	305537
232	40198	304851
233	40306	304193
234	40492	304120
235	40681	304075
236	40850	303879
237	41055	303947
238	41150	303205
239	41333	303112
240	41476	302727
241	41625	302389
242	41895	302920
243	41990	302193
244	42199	302285
245	42311	301687
246	42464	301378
247	42606	300997
248	42798	300967
249	42966	300767
250	43042	299923
251	43203	299680
252	43420	299824
253	43637	299962
254	43706	299087
255	43864	298830
256	44078	298945
257	44204	298467
258	44406	298498
259	44506	297853
260	44704	297855
261	44873	297674
262	45048	297525
263	45189	297155
264	45426	297416
265	45606	297302
266	45787	297189
267	45828	296173
268	46008	296061
269	46056	295105
270	46221	294897
271	46394	294744
272	46577	294646
273	46746	294468
274	46914	294280
275	47128	294380
276	47275	294066
277	47414	293696
278	47553	293334
279	47635	292618
280	47835	292629
281	47899	291812
282	47962	290994
283	48062	290405
284	48291	290593
285	48468	290471
286	48580	289958
287	48716	289595
288	48842	289169
289	48915	288432
290	48986	287689
291	49205	287817
292	49418	287906
293	49623	287954
294	49725	287396
295	49804	286712
296	49942	286373
297	50036	285779
298	50152	285316
299	50242	284708
300	50468	284868
301	50517	284033
302	50697	283937
303	50776	283280
304	50949	283145
305	51008	282379
306	51103	281816
307	51250	281543
308	51330	280907
309	51508	280806
310	51725	280914
311	51862	280588
312	52077	280687
313	52274	280685
314	52374	280163
315	52496	279759
316	52696	279772
317	52754	279032
318	52973	279150
319	53106	278808
320	53319	278889
321	53360	278073
322	53497	277754
323	53722	277896
324	53879	277688
325	53976	277166
326	54094	276759
327	54229	276439
328	54400	276303
329	54520	275908
330	54608	275349
331	54685	274742
332	54807	274364
333	54982	274255
334	55077	273744
335	55233	273538
336	55360	273188
337	55439	272607
338	55529	272078
339	55621	271565
340	55656	270776
341	55788	270458
342	55827	269699
343	55982	269495
344	56075	269000
345	56156	268448
346	56423	268781
347	56533	268371
348	56752	268476
349	56970	268573
350	57067	268102
351	57188	267747
352	57235	267043
353	57309	266471
354	57460	266262
355	57521	265631
356	57566	264934
357	57663	264480
358	57738	263924
359	57822	263414
360	57898	262869
361	58084	262824
362	58313	262970
363	58398	262473
364	58636	262661
365	58683	261990
366	58728	261318
367	58826	260883
368	58900	260341
369	59055	260163
370	59190	259896
371	59273	259401
372	59383	259028
373	59529	258808
374	59799	259130
375	59945	258914
376	59996	258286
377	60045	257654
378	60099	257047
379	60149	256428
380	60338	256400
381	60462	256094
382	60538	255590
383	60608	255061
384	60701	254629
385	60823	254322
386	60938	253987
387	61077	253753
388	61095	253021
389	61313	253116
390	61414	252727
391	61457	252100
392	61550	251685
393	61569	250967
394	61679	250619
395	61820	250406
396	61937	250090
397	62153	250174
398	62249	249777
399	62390	249560
400	62539	249377
401	62717	249311
402	62869	249136
403	62906	248512
404	63062	248356
405	63292	248495
406	63468	248414
407	63620	248244
408	63669	247674
409	63787	247370
410	63828	246771
411	63968	246558
412	64144	246484
413	64354	246535
414	64553	246546
415	64797	246728
416	64941	246530
417	65087	246336
418	65257	246233
419	65449	246215
420	65593	246016
421	65802	246058
422	65970	245946
423	66008	245352
424	66164	245199
425	66371	245230
426	66592	245316
427	66716	245042
428	66890	244952
429	67125	245087
430	67324	245087
431	67470	244894
432	67598	244634
