iter	RMSE
0	18.5304983
1	18.15623342
2	17.79620688
3	17.4511704
4	17.1179426
5	16.79983156
6	16.49205057
7	16.19414894
8	15.90967068
9	15.63380641
10	15.36697384
11	15.11337618
12	14.8674631
13	14.61865433
14	14.38085701
15	14.15186234
16	13.93178846
17	13.72117408
18	13.5158649
19	13.3202548
20	13.1305507
21	12.94912345
22	12.77585743
23	12.60685466
24	12.44700201
25	12.29338153
26	12.14529689
27	12.00249254
28	11.8657488
29	11.73486882
30	11.60824803
31	11.48898333
32	11.37336994
33	11.26262892
34	11.15680541
35	11.05508382
36	10.95883113
37	10.8659497
38	10.77687231
39	10.69284246
40	10.61180515
41	10.53450336
42	10.45930835
43	10.38820695
44	10.32068077
45	10.25448914
46	10.19259656
47	10.13293766
48	10.07561449
49	10.02159274
50	9.96929444
51	9.919323822
52	9.872266701
53	9.826836735
54	9.783493046
55	9.741784856
56	9.702633209
57	9.665901631
58	9.630245008
59	9.595650961
60	9.563177408
61	9.531708423
62	9.502030402
63	9.473344753
64	9.44630886
65	9.420648545
66	9.395128669
67	9.371806558
68	9.348948714
69	9.32768757
70	9.307816739
71	9.288262611
72	9.269352586
73	9.251507018
74	9.234557403
75	9.218177186
76	9.202462522
77	9.187784873
78	9.173945673
79	9.159854527
80	9.146793771
81	9.134257229
82	9.122574077
83	9.111128126
84	9.100298135
85	9.089951285
86	9.080299293
87	9.070720297
88	9.061725733
89	9.053259901
90	9.045012253
91	9.037182333
92	9.029647005
93	9.022728928
94	9.015806511
95	9.009062565
96	9.002764846
97	8.996743043
98	8.990867531
99	8.985291277
100	8.980014868
101	8.975118205
102	8.970196076
103	8.965481562
104	8.961033528
105	8.95668742
106	8.9528006
107	8.948921518
108	8.94513556
109	8.941530663
110	8.938114491
111	8.934866838
112	8.9318504
113	8.928773212
114	8.926156848
115	8.923277581
116	8.920169227
117	8.917455121
118	8.914690496
119	8.912139401
120	8.909540242
121	8.907375001
122	8.905043347
123	8.902877854
124	8.900645516
125	8.898636693
126	8.896513643
127	8.894483706
128	8.892561147
129	8.890443905
130	8.888552035
131	8.886976617
132	8.885216529
133	8.883511238
134	8.881732038
135	8.880427151
136	8.879491827
137	8.877994312
138	8.876917162
139	8.875536326
140	8.874341146
141	8.873010108
142	8.871641645
143	8.870594302
144	8.869413742
145	8.868330158
146	8.867198506
147	8.86629771
148	8.865539303
149	8.864483642
150	8.863346941
151	8.862757648
152	8.861702643
153	8.860709031
154	8.859946316
155	8.859045469
156	8.858366605
157	8.857720575
158	8.856997051
159	8.856489333
160	8.855669926
161	8.855049419
162	8.854552599
163	8.854239863
164	8.853768876
165	8.85306811
166	8.852571117
167	8.852128392
168	8.851780017
169	8.851187577
170	8.85086506
171	8.850317653
172	8.849964777
173	8.849537015
174	8.84904006
175	8.848734173
176	8.848543426
177	8.848220904
178	8.847823981
179	8.84731356
180	8.846933753
181	8.846602357
182	8.846296482
183	8.845968982
184	8.845772565
185	8.845338923
186	8.844969343
187	8.844696308
188	8.844415585
189	8.844200418
190	8.844011446
191	8.84364077
192	8.843484465
193	8.843300894
194	8.843012135
195	8.842742789
196	8.842467826
197	8.842289817
198	8.842128085
199	8.841848007
200	8.84167637
201	8.841577882
202	8.841352675
203	8.841213592
204	8.84109065
205	8.840774731
206	8.840484944
207	8.840261155
208	8.840138959
209	8.840044761
210	8.839798117
211	8.839679099
212	8.839422963
213	8.83920675
214	8.839003669
215	8.838874931
216	8.838757032
217	8.838507457
218	8.838251571
219	8.838079454
220	8.83795682
221	8.837826945
222	8.837575231
223	8.837376701
224	8.8373405
225	8.837226627
226	8.837053386
227	8.836853937
228	8.836696202
229	8.836573373
230	8.836354975
231	8.836121249
232	8.836103495
233	8.835879538
234	8.835784959
235	8.835646411
236	8.83553807
237	8.835396611
238	8.835309717
239	8.835156515
240	8.835032435
241	8.834952136
242	8.834878644
243	8.834605136
244	8.834457175
245	8.834320562
246	8.834228
247	8.834146965
248	8.834043928
249	8.83398907
250	8.833887434
251	8.833743615
252	8.833706062
253	8.833576618
254	8.833432817
255	8.833403357
256	8.833322094
257	8.833286798
258	8.833109233
259	8.833066058
260	8.832990346
261	8.832864791
262	8.832788002
263	8.832769702
264	8.832740057
265	8.832634099
266	8.832496622
267	8.83248838
268	8.832457074
269	8.832454286
270	8.832441696
271	8.832388182
272	8.832361938
273	8.832225512
274	8.832154568
275	8.832097325
276	8.83206851
277	8.832047541
278	8.831927683
279	8.831899948
280	8.831796988
281	8.831773999
282	8.831744992
283	8.831722495
284	8.831703715
285	8.831681622
286	8.831601742
287	8.831557719
288	8.831548437
289	8.831431578
290	8.831311023
291	8.83117365
292	8.831151981
293	8.831053232
294	8.830940832
295	8.830735625
296	8.830649787
297	8.830649785
298	8.830597732
299	8.830492782
300	8.830414898
301	8.83039646
302	8.830311708
303	8.830210728
304	8.830101214
305	8.829930047
306	8.829811908
307	8.829702087
308	8.829417275
309	8.829327261
310	8.829227653
311	8.829114068
312	8.829083232
313	8.829001858
314	8.828980223
315	8.828950428
316	8.828948913
317	8.828934812
318	8.828913467
319	8.82886462
320	8.828723477
321	8.828659069
322	8.828646591
323	8.828594239
324	8.828590281
325	8.82843273
326	8.828413972
327	8.828393336
328	8.828267736
329	8.828239108
330	8.828097944
331	8.828076214
332	8.828062467
333	8.828031685
334	8.827924239
335	8.827923239
336	8.827922812
337	8.827847176
338	8.827760319
339	8.827753881
340	8.82764461
341	8.827611618
342	8.827494899
343	8.827490448
344	8.827454915
345	8.827403827
346	8.827396348
347	8.827353693
348	8.827290338
349	8.827237243
350	8.827184544
351	8.827180382
352	8.827027576
353	8.826977087
354	8.826934619
355	8.826931653
356	8.82692984
357	8.82692896
358	8.826928898
359	8.826897114
360	8.826873931
361	8.826873843
362	8.826770684
363	8.826738994
364	8.826636974
365	8.826539043
366	8.826445191
367	8.826420251
368	8.826419678
369	8.826373943
370	8.826257296
371	8.826129416
372	8.826042032
373	8.82593358
374	8.825927306
375	8.825903535
376	8.825856419
377	8.825696067
378	8.825686528
379	8.825667009
380	8.825664344
381	8.825663901
382	8.82549696
383	8.825495203
384	8.825398399
385	8.825395555
386	8.82526351
387	8.825168567
388	8.825063526
389	8.824997939
390	8.82498147
391	8.82496475
392	8.82487322
393	8.824765657
394	8.824725662
395	8.824632785
396	8.824627342
397	8.824564379
398	8.824472246
399	8.82447028
400	8.824462242
401	8.824372552
402	8.824279954
403	8.824279658
404	8.824198822
405	8.824103791
406	8.823955232
407	8.823868131
408	8.823741731
409	8.823639694
410	8.823542568
411	8.823436236
412	8.823317732
413	8.823194916
414	8.823192793
415	8.823101321
416	8.823101073
417	8.823070889
418	8.823018122
419	8.822966565
420	8.822883699
421	8.822834446
422	8.822778668
423	8.822557949
424	8.822507887
425	8.822504078
426	8.822333719
427	8.822234051
428	8.822205802
429	8.822202482
430	8.822090256
431	8.822046029
432	8.821900205
433	8.821871806
434	8.821764931
435	8.821738162
436	8.821577774
437	8.821301041
438	8.821260038
439	8.821216041
440	8.821215449
441	8.82118506
442	8.821086809
443	8.821047406
444	8.8209081
445	8.820735565
446	8.820565919
447	8.820435199
448	8.820235423
449	8.820041774
450	8.819852986
451	8.819744931
452	8.819744799
453	8.819607608
454	8.819485048
455	8.819303881
456	8.819093316
457	8.818890468
458	8.818733715
459	8.818561926
460	8.818415742
461	8.818410324
462	8.818289872
463	8.818162757
464	8.818139102
465	8.817973283
466	8.817850215
467	8.817711415
468	8.817644645
469	8.817544504
470	8.817375378
471	8.817195995
472	8.817134143
473	8.816920367
474	8.81672208
475	8.816626259
476	8.816625244
477	8.816498049
478	8.816308881
479	8.816267058
480	8.816146189
481	8.816034971
482	8.815915857
483	8.815746132
484	8.815558921
485	8.815508313
486	8.815492324
487	8.815370343
488	8.815202494
489	8.815032448
490	8.814935715
491	8.814862162
492	8.814660286
493	8.814564325
494	8.814411641
495	8.814285852
496	8.814166292
497	8.814003492
498	8.813998286
499	8.813810796
500	8.813626992
501	8.813382138
502	8.81321065
503	8.813075564
504	8.812961834
505	8.812862557
506	8.812711069
507	8.812594818
508	8.81246739
509	8.812343786
510	8.812325882
511	8.812171609
512	8.812002615
513	8.811850204
514	8.811719738
515	8.811576821
516	8.811434014
517	8.811320098
518	8.811118978
519	8.810980303
520	8.810856632
521	8.810717076
522	8.810603623
523	8.810478324
524	8.810471267
525	8.810383042
526	8.810330476
527	8.810315241
528	8.810143587
529	8.809983889
530	8.809861076
531	8.80967897
532	8.809536261
533	8.809517845
534	8.809284543
535	8.809141612
536	8.808963274
537	8.808839275
538	8.808729853
539	8.808571132
540	8.80844292
541	8.808297279
542	8.808263963
543	8.808252214
544	8.808066982
545	8.807960794
546	8.80794323
547	8.807845068
548	8.80766707
549	8.807617956
550	8.807468999
551	8.80732265
552	8.807159458
553	8.807046086
554	8.807002836
555	8.806992859
556	8.806965313
557	8.806824456
558	8.806684392
559	8.806588707
560	8.806434879
561	8.806359075
562	8.806274797
563	8.806188767
564	8.806057451
565	8.80593281
566	8.805864881
567	8.805788438
568	8.805779834
569	8.805586303
570	8.805440779
571	8.805314718
572	8.805168538
573	8.805040089
574	8.804877274
575	8.80474403
576	8.804651515
577	8.804527941
578	8.804420748
579	8.804273434
580	8.804265122
581	8.804239782
582	8.804150582
583	8.804132817
584	8.804022894
585	8.803914655
586	8.803834879
587	8.80374982
588	8.803641283
589	8.803491673
590	8.803351751
591	8.803269486
592	8.803131418
593	8.803110136
594	8.802949867
595	8.802825868
596	8.802651391
597	8.802547873
598	8.802441824
599	8.802339353
600	8.802214682
601	8.802076321
602	8.802066291
603	8.801961366
604	8.801861558
605	8.801784007
606	8.801620245
607	8.80150319
608	8.801370258
609	8.801302331
610	8.801180517
611	8.801050978
612	8.800934566
613	8.800816947
614	8.800747231
615	8.800684515
616	8.800668335
617	8.800657282
618	8.800537778
619	8.800438204
620	8.800332421
621	8.800139991
622	8.799998391
623	8.799922991
624	8.799805403
625	8.799715697
626	8.799577496
627	8.799504687
628	8.799389948
629	8.799304123
630	8.799105827
631	8.799023111
632	8.798861629
633	8.798738343
634	8.798721341
635	8.798710738
636	8.798608248
637	8.798472833
638	8.798329201
639	8.798221977
640	8.798070853
641	8.797983296
642	8.797855304
643	8.797843658
644	8.797780155
645	8.797669619
646	8.797537193
647	8.797526361
648	8.797448908
649	8.797331525
650	8.797258989
651	8.797146578
652	8.797096829
653	8.797087139
654	8.797079774
655	8.797070598
656	8.796991224
657	8.796895165
658	8.796788574
659	8.796777771
660	8.796772182
661	8.796630306
662	8.796522981
663	8.796373959
664	8.796235592
665	8.796200699
666	8.796086957
667	8.796030078
668	8.795902055
669	8.79580378
670	8.795796715
671	8.795736179
672	8.795646886
673	8.795545865
674	8.795459213
675	8.795384333
676	8.795324198
677	8.795155379
678	8.795011629
679	8.794905961
680	8.794870884
681	8.794740381
682	8.79473503
683	8.794636419
684	8.794582615
685	8.794493498
686	8.794485471
687	8.794402311
688	8.794306483
689	8.794217272
690	8.794091428
691	8.794013847
692	8.793929902
693	8.793806135
694	8.793737314
695	8.79372978
696	8.793587131
697	8.793508951
698	8.793424874
699	8.793294326
700	8.793155587
701	8.793151686
702	8.793036251
703	8.793030674
704	8.792900037
705	8.792850984
706	8.792751066
707	8.792623305
708	8.79255053
709	8.792466102
710	8.792338287
711	8.792256152
712	8.792183102
713	8.79211806
714	8.792053443
715	8.792051802
716	8.791990289
717	8.791906579
718	8.79184891
719	8.791771155
720	8.791692828
721	8.791548863
722	8.791519772
723	8.7915171
724	8.791455541
725	8.79144111
726	8.791366751
727	8.791363538
728	8.791251975
729	8.791160867
730	8.791108803
731	8.791054094
732	8.790939085
733	8.790936002
734	8.790842051
735	8.790754144
736	8.790691915
737	8.790636006
738	8.790630758
739	8.790543082
740	8.790507574
741	8.790427835
742	8.790334723
743	8.790179522
744	8.790175994
745	8.790050049
746	8.789919954
747	8.789843573
748	8.789720099
749	8.789571383
750	8.789469121
751	8.789346968
752	8.789252293
753	8.78914318
754	8.788998408
755	8.788896706
756	8.788883506
757	8.788782556
758	8.788704757
759	8.788575311
760	8.788440349
761	8.788305191
762	8.788208939
763	8.78813819
764	8.78802443
765	8.787926869
766	8.787816793
767	8.787721803
768	8.78762475
769	8.787603858
770	8.787589653
771	8.787514985
772	8.787388572
773	8.787272399
774	8.787192989
775	8.787047511
776	8.786915111
777	8.786911632
778	8.786802206
779	8.786693948
780	8.786625225
781	8.786564343
782	8.786463553
783	8.78635828
784	8.786352493
785	8.786339972
786	8.786242224
787	8.786165488
788	8.786059396
789	8.785966214
790	8.785928668
791	8.785808467
792	8.785804534
793	8.785795163
794	8.785789379
795	8.785681607
796	8.78559867
797	8.785527726
798	8.785416547
799	8.785309164
800	8.785213827
801	8.785116614
802	8.785033827
803	8.785002865
804	8.784918981
805	8.784797993
806	8.784774298
807	8.784769624
808	8.784697626
809	8.784620893
810	8.784610054
811	8.784525481
812	8.784519101
813	8.784441479
814	8.784341931
815	8.784257045
816	8.784176403
817	8.784117886
818	8.784017337
819	8.783961342
820	8.7839562
821	8.783873133
822	8.783813796
823	8.783716644
824	8.783705272
825	8.783573554
826	8.783511587
827	8.78350812
828	8.783405624
829	8.783395246
830	8.783384675
831	8.783263517
832	8.783184264
833	8.783094718
834	8.783039471
835	8.7829432
836	8.78288469
837	8.782800084
838	8.782706328
839	8.782652478
840	8.782541758
841	8.782474519
842	8.782390339
843	8.782381749
844	8.782338303
845	8.782247685
846	8.782158519
847	8.782061348
848	8.782023748
849	8.781953339
850	8.78191428
851	8.781880532
852	8.781874964
853	8.781869942
854	8.781808345
855	8.781757354
856	8.781643574
857	8.781591775
858	8.781587951
859	8.781516289
860	8.781421709
861	8.781401504
862	8.781380023
863	8.781375118
864	8.781370367
865	8.781315152
866	8.781307876
867	8.781250888
868	8.781243095
869	8.781239202
870	8.781237507
871	8.78121502
872	8.78116965
873	8.781093806
874	8.781070406
875	8.781028198
876	8.781016065
877	8.780987013
878	8.780886646
879	8.780796911
880	8.780791764
881	8.780746119
882	8.780681197
883	8.780605301
884	8.780584892
885	8.780505461
886	8.780418004
887	8.780347164
888	8.780242921
889	8.780128796
890	8.780075185
891	8.77999279
892	8.77991496
893	8.779801082
894	8.779690031
895	8.779579634
896	8.77956411
897	8.779463926
898	8.779386265
899	8.779325826
900	8.779261497
901	8.779255499
902	8.779160686
903	8.779072823
904	8.778997334
905	8.7789937
906	8.778912672
907	8.778905907
908	8.778878259
909	8.778860531
910	8.778796752
911	8.778714034
912	8.778636116
913	8.778630783
914	8.778498191
915	8.778377234
916	8.778350426
917	8.778289029
918	8.778285737
919	8.778236883
920	8.778132967
921	8.778126062
922	8.77803649
923	8.777963783
924	8.777898582
925	8.777888121
926	8.777884552
927	8.777808545
928	8.777801823
929	8.777797449
930	8.777699793
931	8.777694158
932	8.777604882
933	8.777498435
934	8.77747648
935	8.77737714
936	8.777371101
937	8.777363831
938	8.777250979
939	8.777164044
940	8.777104301
941	8.777038619
942	8.776959036
943	8.776863236
944	8.776855911
945	8.776839606
946	8.776788405
947	8.776743351
948	8.776712965
949	8.776610984
950	8.776608822
951	8.77655326
952	8.776550032
953	8.776444167
954	8.776365276
955	8.77626863
956	8.776193994
957	8.776184285
958	8.77609803
959	8.776044582
960	8.77594215
961	8.775840784
962	8.775818132
963	8.775747148
964	8.775720223
965	8.775652814
966	8.775559487
967	8.775473587
968	8.775427361
969	8.775367213
970	8.775287412
971	8.775188023
972	8.775183923
973	8.77511482
974	8.77511048
975	8.775093673
976	8.775090468
977	8.774998032
978	8.774916373
979	8.774839909
980	8.774808681
981	8.774799545
982	8.774704875
983	8.774615499
984	8.774576829
985	8.774496712
986	8.774408158
987	8.774313487
988	8.774305834
989	8.774233616
990	8.774222712
991	8.77420611
992	8.774162738
993	8.774086187
994	8.774015713
995	8.7740064
996	8.774001719
997	8.773983617
998	8.773980258
999	8.773974373
1000	8.773967617
1001	8.773924129
1002	8.773897021
1003	8.773827054
1004	8.773818045
1005	8.773781807
1006	8.77377866
1007	8.773687287
1008	8.77367879
1009	8.773675902
1010	8.773672643
1011	8.7736649
1012	8.773580715
1013	8.773575105
1014	8.77357078
1015	8.773513994
1016	8.773417581
1017	8.773411602
1018	8.773400113
1019	8.773394243
1020	8.773304989
1021	8.773250588
1022	8.773186963
1023	8.773100303
1024	8.773082499
1025	8.773022281
1026	8.772933834
1027	8.772927026
1028	8.772922508
1029	8.772912417
1030	8.772843056
1031	8.7728373
1032	8.772776823
1033	8.7727712
1034	8.77273758
1035	8.772730485
1036	8.772665438
1037	8.772631177
1038	8.77257281
1039	8.772506607
1040	8.772496422
1041	8.772430648
1042	8.772370405
1043	8.772296898
1044	8.772291765
1045	8.772285335
1046	8.772220001
1047	8.772167622
1048	8.772093936
1049	8.772091887
1050	8.772074468
1051	8.772065839
1052	8.771959096
1053	8.771955708
1054	8.771927746
1055	8.771923427
1056	8.771912347
1057	8.771827848
1058	8.771747585
1059	8.771690893
1060	8.771567901
1061	8.771509563
1062	8.771438913
1063	8.771434212
1064	8.771423759
1065	8.771392421
1066	8.771331707
1067	8.771325633
