iter	Passed	Remaining
0	169	338424
1	398	398019
2	559	372428
3	749	373888
4	900	359444
5	1033	343480
6	1232	350944
7	1397	348000
8	1549	342723
9	1723	343005
10	1871	338428
11	2012	333486
12	2168	331389
13	2329	330442
14	2497	330526
15	2642	327662
16	2815	328410
17	2980	328143
18	3123	325644
19	3286	325373
20	3444	324616
21	3605	324135
22	3777	324667
23	3927	323366
24	4075	321968
25	4243	322180
26	4395	321181
27	4541	319881
28	4741	322248
29	4916	322830
30	5071	322116
31	5233	321877
32	5381	320758
33	5575	322415
34	5779	324480
35	5954	324856
36	6133	325396
37	6291	324835
38	6447	324179
39	6609	323858
40	6754	322736
41	6921	322651
42	7076	322068
43	7229	321395
44	7387	320954
45	7557	321028
46	7719	320765
47	7888	320804
48	8037	320016
49	8205	320027
50	8361	319549
51	8519	319168
52	8686	319095
53	8857	319199
54	9008	318562
55	9175	318516
56	9316	317579
57	9475	317280
58	9625	316663
59	9771	315952
60	9948	316218
61	10113	316113
62	10291	316431
63	10456	316322
64	10614	315979
65	10774	315733
66	10939	315614
67	11102	315441
68	11268	315349
69	11438	315382
70	11610	315451
71	11775	315332
72	11978	316187
73	12132	315785
74	12311	316007
75	12467	315624
76	12633	315501
77	12809	315648
78	12952	314963
79	13107	314576
80	13267	314330
81	13436	314293
82	13600	314127
83	13786	314453
84	13950	314291
85	14109	314013
86	14257	313509
87	14419	313294
88	14563	312716
89	14727	312542
90	15000	314681
91	15178	314793
92	15377	315328
93	15562	315564
94	15806	316959
95	16014	317619
96	16194	317712
97	16361	317553
98	16536	317540
99	16706	317431
100	16870	317201
101	17038	317041
102	17198	316757
103	17359	316476
104	17523	316264
105	17674	315797
106	17838	315599
107	18000	315348
108	18199	315738
109	18369	315625
110	18529	315330
111	18691	315083
112	18895	315541
113	19078	315630
114	19252	315576
115	19405	315178
116	19556	314741
117	19711	314376
118	19880	314251
119	20025	313740
120	20213	313898
121	20370	313575
122	20510	312997
123	20691	313045
124	20877	313161
125	21049	313075
126	21224	313026
127	21403	313025
128	21605	313369
129	21763	313058
130	21910	312594
131	22118	313007
132	22333	313507
133	22487	313142
134	22669	313173
135	22848	313157
136	23018	313022
137	23207	313130
138	23405	313358
139	23607	313645
140	23785	313601
141	23958	313482
142	24135	313421
143	24299	313195
144	24473	313088
145	24649	313010
146	24833	313034
147	25021	313103
148	25201	313071
149	25386	313101
150	25629	313839
151	25835	314105
152	26014	314048
153	26216	314256
154	26431	314625
155	26615	314613
156	26787	314455
157	26944	314128
158	27122	314035
159	27299	313943
160	27484	313939
161	27682	314078
162	27823	313569
163	27931	312695
164	28113	312658
165	28351	313228
166	28530	313146
167	28682	312779
168	28855	312630
169	29059	312812
170	29233	312682
171	29402	312490
172	29528	311845
173	29713	311825
174	29895	311762
175	30101	311964
176	30228	311337
177	30403	311207
178	30601	311315
179	30746	310883
180	30914	310683
181	31098	310642
182	31332	311096
183	31480	310694
184	31587	309902
185	31773	309875
186	31963	309896
187	32080	309201
188	32242	308950
189	32430	308941
190	32543	308223
191	32705	307972
192	32833	307413
193	32962	306861
194	33159	306942
195	33358	307030
196	33521	306796
197	33640	306158
198	33797	305871
199	34016	306150
200	34207	306162
201	34327	305550
202	34541	305769
203	34668	305218
204	34754	304317
205	34961	304470
206	35150	304465
207	35364	304674
208	35438	303682
209	35588	303345
210	35845	303922
211	36007	303687
212	36203	303734
213	36397	303766
214	36621	304043
215	36735	303406
216	36837	302676
217	37185	303962
218	37369	303903
219	37548	303801
220	37640	302998
221	37747	302316
222	37911	302103
223	38097	302062
224	38223	301539
225	38336	300923
226	38578	301323
227	38808	301615
228	38988	301522
229	39151	301297
230	39339	301263
231	39511	301102
232	39571	300100
233	39768	300133
234	39876	299501
235	40042	299301
236	40250	299419
237	40421	299253
238	40555	298824
239	40742	298775
240	40885	298414
241	41096	298546
242	41206	297943
243	41384	297830
244	41533	297515
245	41744	297641
246	41926	297561
247	42024	296884
248	42188	296676
249	42290	296032
250	42474	295969
251	42654	295874
252	42730	295060
253	42893	294849
254	43080	294806
255	43182	294182
256	43346	293982
257	43429	293234
258	43615	293182
259	43689	292381
260	43787	291751
261	43916	291325
262	44033	290822
263	44128	290179
264	44240	289648
265	44333	289002
266	44507	288879
267	44593	288190
268	44698	287629
269	44737	286651
270	44807	285873
271	44930	285443
272	45041	284931
273	45216	284833
274	45388	284709
275	45463	283982
276	45564	283421
277	45724	283227
278	45953	283459
279	46009	282631
280	46128	282186
281	46200	281465
282	46258	280654
283	46358	280111
284	46455	279548
285	46537	278901
286	46678	278607
287	46776	278060
288	46839	277307
289	46981	277026
290	47164	276991
291	47360	277029
292	47446	276418
293	47640	276442
294	47748	275972
295	47973	276169
296	48196	276359
297	48237	275505
298	48369	275174
299	48541	275065
300	48674	274746
301	48773	274228
302	48865	273677
303	49010	273429
304	49167	273240
305	49299	272920
306	49486	272898
307	49663	272827
308	49862	272870
309	49993	272543
310	50134	272273
311	50288	272073
312	50380	271542
313	50556	271461
314	50631	270835
315	50822	270839
316	50861	270029
317	50900	269226
318	51045	268988
319	51149	268532
320	51333	268503
321	51485	268300
322	51553	267663
