iter	Passed	Remaining
0	230	459922
1	454	453957
2	629	419178
3	804	401487
4	995	397027
5	1158	384868
6	1338	381097
7	1544	384695
8	1733	383450
9	1886	375431
10	2068	374068
11	2229	369373
12	2418	369615
13	2560	363263
14	2730	361270
15	2885	357803
16	3039	354575
17	3220	354655
18	3370	351450
19	3523	348850
20	3705	349196
21	3865	347518
22	4026	346094
23	4176	343833
24	4344	343179
25	4487	340695
26	4638	338950
27	4797	337864
28	4947	336285
29	5120	336218
30	5271	334833
31	5425	333682
32	5709	340296
33	6056	350210
34	6260	351482
35	6480	353546
36	6663	353519
37	6854	353920
38	7040	353991
39	7221	353834
40	7398	353487
41	7552	352095
42	7776	353915
43	8157	362647
44	8517	370058
45	8694	369307
46	8870	368618
47	9075	369089
48	9282	369575
49	9452	368636
50	9618	367580
51	9779	366350
52	9955	365725
53	10116	364576
54	10290	363912
55	10467	363387
56	10637	362615
57	10778	360888
58	10934	359726
59	11080	358281
60	11236	357167
61	11396	356246
62	11564	355575
63	11725	354693
64	11880	353670
65	12050	353104
66	12189	351684
67	12370	351466
68	12539	350931
69	12696	350050
70	12862	349470
71	13031	348963
72	13197	348377
73	13362	347791
74	13522	347065
75	13688	346537
76	13916	347553
77	14086	347095
78	14257	346700
79	14464	347143
80	14619	346360
81	14786	345862
82	14968	345707
83	15136	345245
84	15315	345054
85	15486	344665
86	15686	344933
87	15876	344943
88	16037	344347
89	16214	344105
90	16387	343766
91	16553	343308
92	16702	342495
93	16868	342039
94	17047	341844
95	17235	341832
96	17428	341924
97	17624	342066
98	17769	341202
99	17930	340676
100	18100	340329
101	18248	339562
102	18410	339075
103	18581	338762
104	18731	338057
105	18924	338147
106	19096	337843
107	19254	337304
108	19404	336642
109	19599	336751
110	19902	338705
111	20086	338596
112	20316	339263
113	20522	339514
114	20710	339464
115	20901	339474
116	21111	339768
117	21313	339930
118	21521	340189
119	21702	340006
120	21900	340095
121	22094	340108
122	22269	339841
123	22462	339832
124	22634	339511
125	22830	339560
126	23016	339440
127	23248	340005
128	23519	341119
129	23693	340817
130	23915	341212
131	24113	341247
132	24297	341084
133	24481	340919
134	24658	340658
135	24813	340093
136	25015	340177
137	25200	340030
138	25391	339956
139	25553	339502
140	25733	339274
141	25924	339211
142	26101	338954
143	26261	338476
144	26419	337983
145	26612	337937
146	26779	337568
147	26946	337199
148	27102	336694
149	27388	337786
150	27692	339100
151	27903	339247
152	28102	339254
153	28272	338906
154	28448	338633
155	28621	338315
156	28834	338478
157	29017	338295
158	29214	338259
159	29387	337956
160	29591	338001
161	29820	338336
162	30046	338619
163	30256	338719
164	30504	339245
165	30640	338522
166	30762	337648
167	30987	337913
168	31193	337962
169	31371	337709
170	31561	337579
171	31696	336869
172	31873	336610
173	32010	335923
174	32150	335286
175	32354	335309
176	32533	335073
177	32730	335028
178	32916	334868
179	33176	335452
180	33340	335062
181	33543	335069
182	33733	334940
183	33940	334973
184	34120	334752
185	34321	334731
186	34497	334459
187	34712	334571
188	34853	333969
189	35013	333551
190	35159	333005
191	35330	332697
192	35510	332469
193	35681	332165
194	35876	332090
195	36049	331800
196	36227	331567
197	36519	332368
198	36675	331920
199	36810	331297
200	37051	331616
201	37351	332465
202	37470	331696
203	37642	331397
204	37902	331875
205	38228	332923
206	38493	333426
207	38715	333548
208	38877	333159
209	38962	332112
210	39094	331473
211	39296	331428
212	39500	331399
213	39635	330789
214	39831	330695
215	39995	330334
216	40099	329480
217	40287	329324
218	40583	330042
219	40781	329955
220	40996	330008
221	41129	329402
222	41194	328261
223	41321	327618
224	41528	327613
225	41719	327475
226	41917	327399
227	42131	327446
228	42231	326605
229	42393	326247
230	42591	326164
231	42724	325590
232	42839	324880
233	42945	324106
234	43132	323953
235	43314	323756
236	43498	323578
237	43702	323548
238	43808	322793
239	44032	322908
240	44190	322536
241	44344	322136
242	44572	322276
243	44668	321466
244	44843	321223
245	44955	320535
246	45108	320144
247	45292	319966
248	45512	320050
249	45679	319754
250	45749	318788
251	45892	318335
252	46128	318525
253	46343	318562
254	46413	317611
255	46594	317428
256	46818	317529
257	46920	316802
258	47530	319499
259	48091	321845
260	48372	322295
261	48543	322020
262	48779	322168
263	48960	321951
264	49258	322506
265	49447	322336
266	49617	322047
267	49662	320952
268	49938	321349
269	50022	320514
270	50373	321386
271	50660	321840
272	50937	322228
273	51153	322228
274	51360	322168
275	51603	322336
276	51751	321906
277	51890	321421
278	52029	320939
279	52111	320110
280	52303	319961
281	52376	319088
282	52438	318149
283	52538	317448
284	52760	317489
285	52955	317363
286	53066	316733
287	53201	316252
288	53336	315776
289	53416	314976
290	53500	314198
291	53731	314291
292	53937	314236
293	54143	314181
294	54242	313501
295	54318	312700
296	54453	312238
297	54548	311545
298	54666	310994
299	54763	310326
300	54985	310365
301	55033	309427
302	55208	309202
303	55293	308479
304	55471	308275
305	55529	307409
306	55620	306727
307	55773	306394
308	55862	305704
309	56124	305970
310	56378	306184
311	56522	305799
312	56751	305875
313	56946	305771
314	57040	305119
315	57187	304759
316	57452	305022
317	57514	304212
318	57765	304403
319	57890	303927
320	58110	303950
321	58154	303053
322	58297	302677
323	58548	302859
324	58706	302562
325	58826	302070
326	58946	301582
327	59110	301321
328	59279	301081
329	59406	300634
330	59491	299976
331	59560	299237
332	59810	299412
333	59996	299262
334	60098	298698
335	60379	299023
336	60520	298652
337	60611	298034
338	60716	297491
339	60827	296979
340	60865	296117
341	61071	296072
342	61127	295302
343	61307	295133
344	61387	294483
345	61476	293879
346	61709	293966
347	61815	293446
348	62039	293489
349	62245	293445
350	62340	292873
351	62460	292430
352	62511	291659
353	62589	291023
354	62749	290768
355	62811	290061
356	62864	289317
357	62964	288792
358	63045	288184
359	63143	287653
360	63212	286993
361	63390	286833
362	63641	287001
363	63730	286438
364	63965	286529
365	64019	285811
366	64065	285063
367	64161	284542
368	64242	283956
369	64387	283652
370	64526	283323
371	64601	282720
372	64685	282151
373	64826	281839
374	65094	282074
375	65242	281792
376	65290	281079
377	65335	280354
378	65388	279667
379	65433	278954
380	65623	278857
381	65747	278480
382	65815	277869
383	65889	277283
384	65983	276789
